연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-05-02,,2025-05-02,금,평일,5,18,KIA,한화,광주,광주,20500,156,광주,14.2,,1.3,52.8
2025,2025-05-02,,2025-05-02,금,평일,5,18,롯데,NC,사직,부산,22669,159,부산,16.1,,3.3,53.3
2025,2025-05-02,,2025-05-02,금,평일,5,18,삼성,두산,대구,대구,24000,143,대구,15.9,,3.5,40.6
2025,2025-05-02,,2025-05-02,금,평일,5,18,LG,SSG,잠실,서울_잠실,23750,108,서울,13.4,,3.1,59.3
2025,2025-05-02,,2025-05-02,금,평일,5,18,KT,키움,수원,경기_수원,12275,119,수원,12.3,,2.6,62.9
2025,2025-05-03,,2025-05-03,토,주말,5,18,롯데,NC,사직,부산,22669,159,부산,14.2,2.4,2.8,73.4
2025,2025-05-03,,2025-05-03,토,주말,5,18,삼성,두산,대구,대구,24000,143,대구,11.8,13.9,2.1,74.1
2025,2025-05-03,,2025-05-03,토,주말,5,18,LG,SSG,잠실,서울_잠실,23750,108,서울,11.2,7.3,2.3,80.5
2025,2025-05-03,,2025-05-03,토,주말,5,18,KT,키움,수원,경기_수원,15210,119,수원,9.9,11.8,1.8,88.3
2025,2025-05-04,,2025-05-04,일,주말,5,18,KIA,한화,광주,광주,20500,156,광주,14.2,,1.1,55.5
2025,2025-05-04,,2025-05-04,일,주말,5,18,롯데,NC,사직,부산,22669,159,부산,15.2,,2.8,51.8
2025,2025-05-04,,2025-05-04,일,주말,5,18,삼성,두산,대구,대구,24000,143,대구,15.5,,3.0,41.6
2025,2025-05-04,,2025-05-04,일,주말,5,18,LG,SSG,잠실,서울_잠실,23750,108,서울,13.7,,2.8,60.9
2025,2025-05-04,,2025-05-04,일,주말,5,18,KT,키움,수원,경기_수원,15160,119,수원,12.5,,2.5,64.4
2025,2025-05-05,,2025-05-05,월,평일,5,19,키움,KIA,고척,서울_고척,16000,108,서울,12.1,,2.3,64.5
2025,2025-05-05,,2025-05-05,월,평일,5,19,두산,LG,잠실,서울_잠실,23750,108,서울,12.1,,2.3,64.5
2025,2025-05-05,,2025-05-05,월,평일,5,19,KT,NC,수원,경기_수원,12015,119,수원,12.0,,1.2,64.3
2025,2025-05-05,,2025-05-05,월,평일,5,19,롯데,SSG,사직,부산,22669,159,부산,15.3,3.0,2.3,53.9
2025,2025-05-05,,2025-05-05,월,평일,5,19,한화,삼성,대전,대전,17000,133,대전,11.9,0.1,1.2,60.4
2025,2025-05-06,,2025-05-06,화,평일,5,19,키움,KIA,고척,서울_고척,16000,108,서울,14.4,,2.2,57.5
2025,2025-05-06,,2025-05-06,화,평일,5,19,두산,LG,잠실,서울_잠실,23750,108,서울,14.4,,2.2,57.5
2025,2025-05-06,,2025-05-06,화,평일,5,19,KT,NC,수원,경기_수원,9743,119,수원,12.8,,1.8,65.0
2025,2025-05-06,,2025-05-06,화,평일,5,19,롯데,SSG,사직,부산,22669,159,부산,13.3,5.5,2.3,77.1
2025,2025-05-06,,2025-05-06,화,평일,5,19,한화,삼성,대전,대전,17000,133,대전,13.1,,1.3,66.5
2025,2025-05-07,,2025-05-07,수,평일,5,19,키움,KIA,고척,서울_고척,16000,108,서울,14.9,,2.2,61.5
2025,2025-05-07,,2025-05-07,수,평일,5,19,두산,LG,잠실,서울_잠실,23750,108,서울,14.9,,2.2,61.5
2025,2025-05-07,,2025-05-07,수,평일,5,19,KT,NC,수원,경기_수원,3598,119,수원,13.2,,1.9,70.5
2025,2025-05-07,,2025-05-07,수,평일,5,19,롯데,SSG,사직,부산,22669,159,부산,14.5,,2.3,72.8
2025,2025-05-07,,2025-05-07,수,평일,5,19,한화,삼성,대전,대전,17000,133,대전,14.7,,1.5,61.9
2025,2025-05-09,,2025-05-09,금,평일,5,19,키움,한화,고척,서울_고척,16000,108,서울,15.1,17.6,3.0,81.8
2025,2025-05-10,,2025-05-10,토,주말,5,19,키움,한화,고척,서울_고척,16000,108,서울,12.3,14.1,3.5,95.5
2025,2025-05-10,,2025-05-10,토,주말,5,19,SSG,KIA,문학,인천,23000,112,인천,11.5,10.5,4.8,98.5
2025,2025-05-10,,2025-05-10,토,주말,5,19,삼성,LG,대구,대구,24000,143,대구,16.4,0.3,3.6,66.1
2025,2025-05-10,,2025-05-10,토,주말,5,19,삼성,LG,대구,대구,24000,143,대구,16.4,0.3,3.6,66.1
2025,2025-05-10,,2025-05-10,토,주말,5,19,KT,롯데,수원,경기_수원,18700,119,수원,11.9,3.4,3.7,92.5
2025,2025-05-10,,2025-05-10,토,주말,5,19,두산,NC,잠실,서울_잠실,20206,108,서울,12.3,14.1,3.5,95.5
2025,2025-05-11,,2025-05-11,일,주말,5,19,키움,한화,고척,서울_고척,16000,108,서울,14.7,,1.9,76.9
