연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2024,2024-05-08,,2024-05-08,수,평일,5,19,롯데,한화,사직,부산,11407,159,부산,13.4,,3.1,70.5
2024,2024-05-08,,2024-05-08,수,평일,5,19,삼성,KIA,대구,대구,15421,143,대구,13.0,1.0,2.2,70.0
2024,2024-05-08,,2024-05-08,수,평일,5,19,KT,NC,수원,경기_수원,4480,119,수원,13.9,,2.1,59.9
2024,2024-05-08,,2024-05-08,수,평일,5,19,키움,두산,고척,서울_고척,6405,108,서울,14.7,,2.3,58.8
2024,2024-05-08,,2024-05-08,수,평일,5,19,LG,SSG,잠실,서울_잠실,15699,108,서울,14.7,,2.3,58.8
2024,2024-05-09,,2024-05-09,목,평일,5,19,롯데,한화,사직,부산,12774,159,부산,15.7,,3.6,65.4
2024,2024-05-09,,2024-05-09,목,평일,5,19,삼성,KIA,대구,대구,16769,143,대구,16.8,,2.0,56.3
2024,2024-05-09,,2024-05-09,목,평일,5,19,KT,NC,수원,경기_수원,6369,119,수원,15.2,,2.3,63.9
2024,2024-05-09,,2024-05-09,목,평일,5,19,키움,두산,고척,서울_고척,8658,108,서울,16.1,,2.9,63.6
2024,2024-05-09,,2024-05-09,목,평일,5,19,LG,SSG,잠실,서울_잠실,16823,108,서울,16.1,,2.9,63.6
2024,2024-05-10,,2024-05-10,금,평일,5,19,두산,KT,잠실,서울_잠실,13013,108,서울,17.9,,2.6,55.6
2024,2024-05-10,,2024-05-10,금,평일,5,19,롯데,LG,사직,부산,15731,159,부산,19.0,,4.5,52.5
2024,2024-05-10,,2024-05-10,금,평일,5,19,KIA,SSG,광주,광주,18895,156,광주,18.1,,1.6,63.6
2024,2024-05-10,,2024-05-10,금,평일,5,19,NC,삼성,창원,경남_창원,12438,155,창원,18.5,,1.9,57.8
2024,2024-05-10,,2024-05-10,금,평일,5,19,한화,키움,한밭,기타,12000,133,대전,17.9,,1.8,51.1
2024,2024-05-11,,2024-05-11,토,주말,5,19,롯데,LG,사직,부산,22758,159,부산,18.8,0.5,6.5,83.3
2024,2024-05-11,,2024-05-11,토,주말,5,19,NC,삼성,창원,경남_창원,17891,155,창원,19.3,2.9,3.3,80.4
2024,2024-05-11,,2024-05-11,토,주말,5,19,한화,키움,한밭,기타,12000,133,대전,18.9,8.5,2.9,69.3
2024,2024-05-12,,2024-05-12,일,주말,5,19,두산,KT,잠실,서울_잠실,16308,108,서울,16.6,,2.7,65.0
2024,2024-05-12,,2024-05-12,일,주말,5,19,두산,KT,잠실,서울_잠실,9026,108,서울,16.6,,2.7,65.0
2024,2024-05-12,,2024-05-12,일,주말,5,19,롯데,LG,사직,부산,18914,159,부산,18.8,26.6,3.3,76.8
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,20500,156,광주,17.3,8.8,1.7,63.3
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,12743,156,광주,17.3,8.8,1.7,63.3
2024,2024-05-12,,2024-05-12,일,주말,5,19,NC,삼성,창원,경남_창원,16181,155,창원,19.4,11.7,1.4,61.9
2024,2024-05-12,,2024-05-12,일,주말,5,19,한화,키움,한밭,기타,12000,133,대전,16.6,3.1,2.1,61.5
2024,2024-05-14,,2024-05-14,화,평일,5,20,KT,롯데,수원,경기_수원,10120,119,수원,17.2,,1.7,56.1
2024,2024-05-14,,2024-05-14,화,평일,5,20,한화,NC,한밭,기타,12000,133,대전,18.5,,1.7,49.5
2024,2024-05-14,,2024-05-14,화,평일,5,20,KIA,두산,광주,광주,18675,156,광주,19.1,,0.9,57.5
2024,2024-05-14,,2024-05-14,화,평일,5,20,SSG,삼성,문학,인천,16595,112,인천,16.9,,2.3,56.0
2024,2024-05-14,,2024-05-14,화,평일,5,20,LG,키움,잠실,서울_잠실,18479,108,서울,18.8,,2.4,43.3
2024,2024-05-15,,2024-05-15,수,평일,5,20,한화,NC,한밭,기타,12000,133,대전,13.7,8.7,2.4,70.8
