연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2024,2024-05-19,,2024-05-19,일,주말,5,20,키움,SSG,고척,서울_고척,10049
2024,2024-05-21,,2024-05-21,화,평일,5,21,롯데,KIA,사직,부산,14006
2024,2024-05-21,,2024-05-21,화,평일,5,21,삼성,KT,대구,대구,13360
2024,2024-05-21,,2024-05-21,화,평일,5,21,한화,LG,한밭,기타,9335
2024,2024-05-21,,2024-05-21,화,평일,5,21,키움,NC,고척,서울_고척,3940
2024,2024-05-21,,2024-05-21,화,평일,5,21,두산,SSG,잠실,서울_잠실,13917
2024,2024-05-22,,2024-05-22,수,평일,5,21,롯데,KIA,사직,부산,14062
2024,2024-05-22,,2024-05-22,수,평일,5,21,삼성,KT,대구,대구,13232
2024,2024-05-22,,2024-05-22,수,평일,5,21,한화,LG,한밭,기타,9044
2024,2024-05-22,,2024-05-22,수,평일,5,21,키움,NC,고척,서울_고척,4337
2024,2024-05-22,,2024-05-22,수,평일,5,21,두산,SSG,잠실,서울_잠실,12642
2024,2024-05-23,,2024-05-23,목,평일,5,21,롯데,KIA,사직,부산,15844
2024,2024-05-23,,2024-05-23,목,평일,5,21,삼성,KT,대구,대구,13291
2024,2024-05-23,,2024-05-23,목,평일,5,21,한화,LG,한밭,기타,10008
2024,2024-05-23,,2024-05-23,목,평일,5,21,키움,NC,고척,서울_고척,3897
2024,2024-05-23,,2024-05-23,목,평일,5,21,두산,SSG,잠실,서울_잠실,12131
2024,2024-05-24,,2024-05-24,금,평일,5,21,SSG,한화,문학,인천,22451
2024,2024-05-24,,2024-05-24,금,평일,5,21,LG,NC,잠실,서울_잠실,18551
2024,2024-05-24,,2024-05-24,금,평일,5,21,KIA,두산,광주,광주,20500
2024,2024-05-24,,2024-05-24,금,평일,5,21,롯데,삼성,사직,부산,20577
2024,2024-05-24,,2024-05-24,금,평일,5,21,KT,키움,수원,경기_수원,6867
2024,2024-05-25,,2024-05-25,토,주말,5,21,SSG,한화,문학,인천,23000
2024,2024-05-25,,2024-05-25,토,주말,5,21,LG,NC,잠실,서울_잠실,22261
2024,2024-05-25,,2024-05-25,토,주말,5,21,KIA,두산,광주,광주,20500
2024,2024-05-25,,2024-05-25,토,주말,5,21,롯데,삼성,사직,부산,22758
2024,2024-05-25,,2024-05-25,토,주말,5,21,KT,키움,수원,경기_수원,12425
2024,2024-05-26,,2024-05-26,일,주말,5,21,LG,NC,잠실,서울_잠실,17692
2024,2024-05-26,,2024-05-26,일,주말,5,21,KIA,두산,광주,광주,20500
