연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-05-10,,2025-05-10,토,주말,5,19,두산,NC,잠실,서울_잠실,20206
2025,2025-05-11,,2025-05-11,일,주말,5,19,키움,한화,고척,서울_고척,16000
2025,2025-05-11,,2025-05-11,일,주말,5,19,SSG,KIA,문학,인천,23000
2025,2025-05-11,,2025-05-11,일,주말,5,19,SSG,KIA,문학,인천,23000
2025,2025-05-11,,2025-05-11,일,주말,5,19,삼성,LG,대구,대구,24000
2025,2025-05-11,,2025-05-11,일,주말,5,19,KT,롯데,수원,경기_수원,18700
2025,2025-05-11,,2025-05-11,일,주말,5,19,KT,롯데,수원,경기_수원,14470
2025,2025-05-11,,2025-05-11,일,주말,5,19,두산,NC,잠실,서울_잠실,19366
2025,2025-05-11,,2025-05-11,일,주말,5,19,두산,NC,잠실,서울_잠실,9172
2025,2025-05-13,,2025-05-13,화,평일,5,20,삼성,KT,포항,기타,10758
2025,2025-05-13,,2025-05-13,화,평일,5,20,KIA,롯데,광주,광주,16824
2025,2025-05-13,,2025-05-13,화,평일,5,20,SSG,NC,문학,인천,12746
2025,2025-05-13,,2025-05-13,화,평일,5,20,한화,두산,대전,대전,17000
2025,2025-05-13,,2025-05-13,화,평일,5,20,LG,키움,잠실,서울_잠실,18080
2025,2025-05-14,,2025-05-14,수,평일,5,20,삼성,KT,포항,기타,12120
2025,2025-05-14,,2025-05-14,수,평일,5,20,KIA,롯데,광주,광주,18641
2025,2025-05-14,,2025-05-14,수,평일,5,20,SSG,NC,문학,인천,11409
2025,2025-05-14,,2025-05-14,수,평일,5,20,한화,두산,대전,대전,17000
2025,2025-05-14,,2025-05-14,수,평일,5,20,LG,키움,잠실,서울_잠실,18286
2025,2025-05-15,,2025-05-15,목,평일,5,20,삼성,KT,포항,기타,12120
2025,2025-05-15,,2025-05-15,목,평일,5,20,KIA,롯데,광주,광주,17452
